Sanskrit Word,Transliteration,Meaning,Page Number
ॐ,AUM,Primordial Sound,3
अ,a,not,3
अंकुशधारिणम्‌,ankushadhaariNam.h,bearing the weapon with which the elephant,3
अंग,a.nga,body or organ,3
अंगसंगिनौ,a.ngasa.nginau,with,3
अंगैः,a.ngaiH,limbs or body parts,3
अंगेस्तुष्टवांसस्तनूभिः,a.ngaistushhTuvaa.nsastanuubhiH,having satisfied with strong limbs ,3
अंजन,a.njana,anointment,3
अंतरंग,a.ntara.nga,inner body or inner nature or feelings or inside,3
अतगत,antargata,internal,3
अंबा,aMbaa,mother,3
अंश,a.nsha,part or angle,3
अंशभूतं,anshabhuutaM,has been a part of her,3
अंशः,anshaH,fragmental particle,3
अंशुमान्‌,a.nshumaan.h,radiant,3
अंशेन,a.nshena,part,3
अकतार,akartaaraM,as the nondoer,3
अकम,akarma,inaction,3
अकमेकृत्‌,akarmakRit.h,without doing something,3
अकमणः,akarmaNaH,than no work,3
अकमेणि,akarmaNi,in not doing prescribed duties,3
अकल्मषं,akalmashhaM,freed from all past sinful reactions,3
अकस्मात्‌,akasmaat.h,by chance,3
अकारः,akaaraH,the first letter,3
अकारो,akaaro,the letter a,3
अकायं,akaarya,and forbidden activities,3
अकायं,akaaryaM,what ought not to be done,3
अकार्ये,akaarye,and what ought not to be done,3
अकति,akiirti,infamy,3
अकीतिं,akiirtiM,infamy,3
अकुर्वत्‌,akurvat.h,did,3
अकुवंत,akurvata,did they do,3
अकुशलं,akushalaM,inauspicious,3
अकृतबुद्धित्वात्‌,akRitabuddhitvaat.h,due to unintelligence,3
अकृतात्मानः,akRitaatmaanaH,those without self realisation,3
अकृतेन,akRitena,without discharge of duty,3
अकृत्वा,akRitvaa,without doing ,3
अकृत्स्नविदाः,akRitsnavidaaH,persons with a poor fund of knowledge,4
अक्रियाः,akriyaaH,without duty,4
अक्रोध,akrodha,freedom from anger,4
अक्रोधः,akrodhaH,freedom from anger,4
अक्लेद्यः,akledyaH,insoluble,4
अखिल,akhila,entire,4
अखिलं,akhilaM,whole,4
अखिलगुरु,akhilaguru,preceptor for all or also all types of long syllable letters,4
अगत,agata,not past,4
अगतसूस्व,agatasuu.nscha,living people,4
अगम,agama,proof of the trustworthiness of a source of knowledge,4
अगस्तमास,agastamaasa,month of August,4
अगोचर,agochara,unknown,4
अग्नि,agni,fire,4
अग्निः,agniH,fire,4
अग्निपवंतः,agniparvataH,volcano or volcanic cone,4
अग्निपेतिका,agnipetikaa,matchbox,4
अग्निशलाका,agnishalaakaa,matchstick,4
अग्निषु,agnishhu,in the fires,4
अग्नौ,agnau,in the fire of consummation,4
अग्र,agra,tip,4
अग्रं,agraM,at the tip,4
अग्रजः,agrajaH,elder,4
अग्रतः,agrataH,let the two go before me,4
अग्रदीपः,agradiipaH,headlight,4
अग्रे,agre,in front of or ahead or beforehand,4
अघमनः,aghaMmanaH,evil minded,4
अघं,aghaM,grievous sins,4
अघायुः,aghaayuH,whose life is full of sins,4
अङ,a.nga,a limb  or body part,4
अङ्ग,angaM,limbs,4
अङ्गुल,a.ngula,a finger,4
अङ्गुष्ठ,a.ngushhTha,the big toe,4
अचर,acharaM,and not moving,4
अचरस्य,acharasya,and nonmoving,4
अचल,achala, still or stationary,4
अचलं,achalaM,unmoving,4
अचलः,achalaH,immovable,4
अचलप्रतिष्ठं,achalapratishhThaM,steadily situated,4
अचला,achalaa,unflinching,5
अचलेन,achalena,without its being deviated,5
अचक्षुस्‌,achakShus.h,one without an eye,5
अचापलं,achaapalaM,determination,5
अचिन्त्य,achintya,inconceivable,5
अचिन्त्यं,achintyaM,beyond contemplation,5
अचिन्त्यः,achintyaH,inconceivable,5
अचिराद्‌,achiraad.h,without delay or in no time,5
अचिरादइव,achiraadbhava,in no time from the cycle of birth&death,5
अचेतसः,achetasaH,without KRishhNa consciousness,5
अच्छेद्यः,achchhedyaH,unbreakable,5
अच्युत,achyuta,O infallible one,5
अच्युतम्‌,achyutam.h,the who does not slip,5
अज,aja,goat,5
अजं,ajaM,unborn,5
अजः,ajaH,unborn,5
अजगरः,ajagaraH, python,5
अजपा,ajapaa,involuntary repetition as with a mantra,5
अजा,ajaa, goat,5
अजानं,ajaanaM,do not understand,5
अजानता,ajaanataa,without knowing,5
अजानन्तः,ajaanantaH,without knowing,5
अञ्चलः,aJNchalaH,aanchal in Hindi,5
अञ्जन,aJNjana,the name of the mother of Hanuman,5
अञ्जनेयासन,aJNjaneyaasana,the splits,5
अञ्जलि,aJNjali, folded hands,5
अटति,aTati, to roam,5
अणु,aNu,atom,5
अण्वस्त्रं,aNvastraM, nuclear weapon,5
अतः,ataH,hence,5
अतन्द्रितः,atandritaH,with great care,5
अतपस्काय,atapaskaaya,to one who is not austere,5
अति,ati,extremely,5
अतिपरिचय,atiparichaya,excessive familiarity,5
अतिवीर्यं,ativiiryaM,super power,5
अतिचार,atichaara,Accelerated planetary motion,5
अतितरन्ति,atitaranti,transcend,5
अतितरलं,atitaralaM, very unstable,6
अतिथि,atithi,guest,6
अतिथिः,atithiH,guest ,6
अतिदारूणमन्‌,atidaaruuNaman.h, very dreadful,6
अतिदुर्व॑त्त,atidurvRitta,of exceedingly bad conduct,6
अतिरिच्यते,atirichyate,becomes more,6
अतिवतंते,ativartate,transcends,6
